FIPS,State,Ownership,Area,Population,Density
33,"New Hampshire",30.0,8953,1323459,147.8
32,"Nevada",33.8,109781,2790136,25.4
21,"Kentucky",47.7,39486,4395295,111.3
26,"Michigan",38.4,56539,9895622,175.0
17,"Illinois",20.2,55519,12882135,232.0
2,"Alaska",57.8,570641,735132,1.3
1,"Alabama",51.7,50645,4833722,95.4
18,"Indiana",39.1,35826,6570902,183.4
72,"Puerto Rico",6.7,3424,3615086,1055.9
30,"Montana",57.7,145546,1015165,7.0
16,"Idaho",55.3,82643,1612136,19.5
44,"Rhode Island",12.8,1034,1051511,1017.1
55,"Wisconsin",44.4,54158,5742713,106.0
27,"Minnesota",41.7,79627,5420380,68.1
25,"Massachusetts",12.6,7800,6692824,858.0
28,"Mississippi",55.3,46923,2991207,63.7
40,"Oklahoma",42.9,68595,3850568,56.1
20,"Kansas",42.1,81759,2893957,35.4
49,"Utah",43.9,82170,2900872,35.3
24,"Maryland",21.3,9707,5928814,610.8
10,"Delaware",25.5,1949,925749,475.1
31,"Nebraska",38.6,76824,1868516,24.3
35,"New Mexico",34.8,121298,2085287,17.2
11,"District of Columbia",3.8,61,646449,10588.8
53,"Washington",33.1,66456,6971406,104.9
78,"Virgin Islands",8.3,134,106405,792.2
48,"Texas",35.9,261232,26448193,101.2
42,"Pennsylvania",34.7,44743,12773801,285.5
22,"Louisiana",44.1,43204,4625470,107.1
46,"South Dakota",56.6,75811,844877,11.1
13,"Georgia",40.3,57513,9992167,173.7
23,"Maine",40.5,30843,1328302,43.1
29,"Missouri",41.7,68742,6044171,87.9
6,"California",21.3,155779,38332521,246.1
50,"Vermont",42.0,9217,626630,68.0
39,"Ohio",32.4,40861,11570808,283.2
36,"New York",18.0,47126,19651127,417.0
51,"Virginia",35.1,39490,8260405,209.2
9,"Connecticut",16.7,4842,3596080,742.6
41,"Oregon",39.8,95988,3930065,40.9
12,"Florida",24.5,53625,19552860,364.6
47,"Tennessee",43.9,41235,6495978,157.5
15,"Hawaii",8.7,6423,1404054,218.6
38,"North Dakota",50.7,69001,723393,10.5
8,"Colorado",34.7,103642,5268367,50.8
4,"Arizona",31.1,113594,6626624,58.3
34,"New Jersey",12.3,7354,8899339,1210.1
56,"Wyoming",59.7,97093,582658,6.0
66,"Guam",14.3,210,159358,759.6
45,"South Carolina",42.3,30061,4774839,158.8
37,"North Carolina",41.3,48618,9848060,202.6
19,"Iowa",42.8,55857,3090416,55.3
54,"West Virginia",55.4,24038,1854304,77.1
5,"Arkansas",55.3,52035,2959373,56.9
