State,Count,Revenue
AK,0,0
AL,0,0
AR,0,0
AZ,2,60500000
CA,50,5612679093
CO,3,126700000
CT,1,108000000
DC,4,140100000
DE,0,0
FL,1,108000000
GA,0,0
HI,0,0
IA,0,0
ID,0,0
IL,1,108000000
IN,1,108000000
KS,0,0
KY,0,0
LS,0,0
MA,7,234121843
MD,0,0
ME,0,0
MI,0,0
MN,0,0
MO,0,0
MS,0,0
MT,0,0
NC,0,0
ND,0,0
NE,1,108000000
NH,0,0
NJ,0,0
NM,0,0
NV,0,0
NY,10,551950000
OH,0,0
OK,0,0
OR,2,60500000
PA,2,60500000
RI,0,0
SC,0,0
SD,0,0
TN,0,0
TX,4,140100000
UT,3,126700000
VA,2,60500000
VT,0,0
WA,5,271860000
WI,0,0
WV,0,0
WY,0,0
