State,Count,Revenue
AK,0,0
AL,0,0
AR,0,0
AZ,0,0
CA,52,64861807725
CO,2,1320035000
CT,0,0
DC,1,934700000
DE,0,0
FL,1,934700000
GA,1,934700000
HI,0,0
IA,0,0
ID,0,0
IL,2,1320035000
IN,2,1320035000
KS,0,0
KY,0,0
LS,0,0
MA,10,13923100000
MD,2,1320035000
ME,0,0
MI,0,0
MN,0,0
MO,0,0
MS,0,0
MT,0,0
NC,1,934700000
ND,0,0
NE,0,0
NH,1,934700000
NJ,1,934700000
NM,0,0
NV,0,0
NY,13,9732589320
OH,0,0
OK,0,0
OR,1,934700000
PA,0,0
RI,0,0
SC,0,0
SD,0,0
TN,0,0
TX,8,10534351458
UT,1,934700000
VA,0,0
VT,0,0
WA,1,934700000
WI,0,0
WV,0,0
WY,0,0
